id,title,artGrantArtist,artGrantAwarded,content
artTours,GUIDED ART TOURS AND PARADES IN 2019,,,The Art Grants team is excited to announce a series of guided art tours to showcase the 40 granted projects funded in 2019.  Daily art tours will bring you to different neighborhoods where artists will talk about their work and take questions.  Also in the works ... TWO art car parades - one during the day and one at night!
artParades,WANT TO TAKE PART IN TOURS AND PARADES?,,,"check the schedule with arthub at the Nexus tent!

We will add the info with the Art Tours to the ArtHub volunteers as well."
artGrant001,Area 51 &amp; &#189;,Scuba,$595.00,"It's a bird, it's a .. no, that's been done. It's definitely a UFO above the lake. Protect your cows and watch out for probes!"
artGrant002,Bermuda Triangle Beacons,Bermuda Triangle Travel Bureau,$350.00,"Visit and interact with our three wooden pyramids; each representing the geographic ""corners"" of the mysterious Bermuda Triangle (Miami, Puerto Rico, and Bermuda). These structures form an actual ""Devil's"" triangle within Lakes of Fire. Brought to you by the Bermuda Triangle Travel Bureau!"
artGrant003,Consensual Maths,Jeff MacLeod,$200.00,"What's the one thing Lake of Fire is missing? Math! Come do math with us in our math booth. Imaging a lemonade stand but for mathing. Come get your mathematical questions answered, find like minded people. But if math isn't your thing, the booth opens up into a wall of open canvas that can be used for drawing, writing or whatever you want to create."
artGrant004,Cuddle Zone,Cakes,$350.00,"Enter the Pumpkin and find The Cuddle Zone. The Cuddle Zone is an inclusive space for you to come to relax, express your creativity through crafts, and meet some new people who are excited to welcome you whether this is your first Lakes of Fire or your tenth. Our artistic space includes a lounge area for cuddling and chatting, stim toys, and all sorts of activities to engage and emphasize the Immediacy Principle. You'll be immersed in color, lights, art, and loving, beautiful people. Just bring your lovely selves, an open heart, and your creativity!"
artGrant005,Dino Toy,Underwire/ Dino Explorers,"$3,000.00",The Dino Toy is a papercraft style metal sculpture that is inspired by the first toy I purchased for my son. Given that dino had flashing lights and this one is a little more fun with flame effects instead. Along with the dino sculpture the spirit of childhood joy is also brought to life in the coloring cavern. You will crawl into this child size world to rediscover the joy of letting go and just coloring. So come rediscover your childhood joy with us.
artGrant006,Easily A'Moose'd,Bar Sorreh,$700.00,"EASILY A'MOOSE'D is a visual projection-mapping art installation that will consist of a 3-D polygonal sculpture of a moosehead and a maple leaf which will come alive at night with a kaleidoscope of colors, pre-rendered images, videos and cool sound-reactive effects, as it reacts and pulsates to the beat of the music!"
artGrant007,Elements out of control,Captain Keester,$250.00,"A damaged, leaking, and burning nuclear reactor."
artGrant008,Firefly,Burn Tech,"$1,000.00","Firefly is an interactive, wearable, project at the intersection of art and technology. Each firefly, of the hundreds or maybe thousands we would like to make, has an LED, a light sensor, and a chip with code that lets them talk to each other with the goal being to explore what behaviors emerge from the simple set of rule contained within."
