eventId,eventTitle,eventFire,eventExplicit,eventAlcohol,eventHumanLocation,eventDays,eventDescription
event001,1 Hour of Power: Kindness,,Y,,"Dewey Decibels | Site 27, 28, 29, 30","Wednesday, Thursday, Friday, Saturday, Sunday",Navigating consent through Machete Spankings. Oar what? Oar else!
event002,24 Hour Mini Golf,,,,The Country Club | Site 22,"Wednesday, Thursday, Friday, Saturday, Sunday","Returning this year with a twelve hole mini golf course, the (Great Lakes Miniature Municipal) Country Club will be open for all your mini golf needs. Come recapture your youth with a round of mini golf. The seven lowest scores of the week qualify for the Great Lakes Miniature Open."
event003,3rd Annual Jess Parade,,,,"Sphinx Beer Garden | Site 60, 61, 62",Friday,"Is your name Jessica, Jessca, Jessa, Jessi, Jess, Jessika, or any other Rendition of the name? If so, join us in a walk around Lucky Lake! We will convene at The Sphinx’s Beer Garden to meet and greet!"
event004,3rd Annuel Wondering Whisky Tea Party,,,Y,Effigy | Site Lucky Lake,Thursday,We're at it again!! Join us Thursday for another exciting improvised croquet match. Starting at the effigy and working our way in some direction we'll be serving all the Tea. Literally tea... well tea infused whiskey cocktails. Come hit things with things or show off your impressive wicket skills. Antics will ensue! New this year we'll be serving mocktails as well as our high octane favorites. Come Play!!!
event005,401kHole,,,,Early Retirement @ Tahitian Isles Village | Site B45,"Wednesday, Thursday, Friday, Saturday, Sunday",Could your investment portfolio use a bump? Sink into comfort with a dose of forward-thinking financial planning at our chill pillow palace.
event006,"Absinthe Ritual at Drink, Bitch.",,,Y,"Drink, Bitch. | Site 109",Friday,"Guest presenter at Drink, Bitch. Meet the Green Fairy. Enjoy our imported Spanish Absinthe. This Absinthe is made from wormwood, Artemisia Absinthium. Our ritual involves a home made Absinthe fountain and sugar cubes."
event007,A Conversation about Ethical Non-Monogamy,,Y,,Pleasure House | Site E,Friday,"Open, ""Swinging"", ""Polyamory"", and ""Relationship Anarchy"" are labels that some of us use to describe the ethically non-monogamous way that we relate with our significant others. Whether you're just interested in understanding more how we make all this work, or you've got some experience of your own, join our informal conversation about life on the spectrum of non-monogamy. Show up a little early and grab some Spanks and Dranks, happening concurrently!"
event008,Afternoon Tea,,,Y,"Tea &amp; Strumpets | Site 132, 133",Thursday,"Come rest your weary legs and replenish your body with refinement and poise; join us for afternoon tea! Complete with scones, cucumber sandwiches, and mini Victorias, indulge in great conversation- aided by Earl Grey gin and tonics, of course."
event009,Alcoholics Anonymous,,,,Green Dragon Lounge | Site K2,"Thursday, Friday, Saturday",Alcoholics Anonymous meeting.
event010,All Cats are Black at Night,,,Y,9 Lives Club | Site K17,Thursday,"Cultured cats connect over flavored gin and jazz. We’ll leave you feline fine. Visitors encouraged to BYOCup. Our human-sized cat play area and lounge is also available all day, every day for Burners to enjoy."
